X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
127.681392,38.062789,강원,Charcoal,화천 원천리,78,예맥문화재연구원,1700,20,백제(呂·凸자형),X,예맥문화재연구원 화천 원천리 78,영서
127.713418,38.097924,강원,Charcoal,화천 위라리,철-1,강원고고문화연구원,2031,25,백제(呂·凸자형),234850,강원고고문화연구원 화천 위라리 철-1,영서
127.713418,38.097924,강원,Charcoal,화천 위라리,철-2,강원고고문화연구원,1971,30,백제(呂·凸자형),208740,강원고고문화연구원 화천 위라리 철-2,영서
127.713418,38.097924,강원,Charcoal,화천 위라리,철-3,강원고고문화연구원,1987,27,백제(呂·凸자형),469650,강원고고문화연구원 화천 위라리 철-3,영서
127.713418,38.097924,강원,Charcoal,화천 위라리,철-4,강원고고문화연구원,1940,24,백제(呂·凸자형),X,강원고고문화연구원 화천 위라리 철-4,영서
128.213845,37.511937,강원,Charcoal,횡성 둔내,1,강원도문화재연구소,1722,14,백제(呂·凸자형),899240,강원도문화재연구소 횡성 둔내 1,영서
127.973508,37.486275,강원,Charcoal,횡성 읍하리,삼-1,예맥문화재연구원,1603,26,백제(呂·凸자형),X,예맥문화재연구원 횡성 읍하리 삼-1,영서
127.973508,37.486275,강원,Charcoal,횡성 읍하리,삼-3,예맥문화재연구원,1679,26,백제(呂·凸자형),X,예맥문화재연구원 횡성 읍하리 삼-3,영서
127.962071,37.537727,강원,Charcoal,횡성 학담리,1,한림대학교박물관,2150,50,백제(呂·凸자형),X,한림대학교박물관 횡성 학담리 1,영서
127.962071,37.537727,강원,Charcoal,횡성 학담리,2,한림대학교박물관,1870,50,백제(呂·凸자형),X,한림대학교박물관 횡성 학담리 2,영서
